,Name,Season,Team,WAR
166,Bob Howry,1998,CHW,8.400000000000004
167,Mark Johnson,1998,CHW,2.3
168,Paul Konerko,1997,LAD,24.1
169,Carlos Lee,1999,CHW,27.7
170,Kenny Lofton,1991,HOU,62.599999999999994
171,Damaso Marte,1999,SEA,7.500000000000002
172,Magglio Ordonez,1997,CHW,36.800000000000004
173,Antonio Osuna,1995,LAD,6.3
174,Jim Parque,1998,CHW,4.3
175,Josh Paul,1999,CHW,0.2
176,Todd Ritchie,1997,MIN,10.0
177,Aaron Rowand,2001,CHW,23.4
178,Frank Thomas,1990,CHW,72.10000000000001
179,Jose Valentin,1992,MIL,30.4
180,Dan Wright,2001,CHW,0.8999999999999999
181,Kelly Wunsch,2000,CHW,1.0
182,Antonio Alfonseca,1997,FLA,2.1999999999999997
183,Moises Alou,1990,- - -,48.0
184,Mark Bellhorn,1997,OAK,7.3
185,Alan Benes,1995,STL,5.3
186,Jason Bere,1993,CHW,10.200000000000001
187,Joe Borowski,1995,BAL,3.3999999999999995
188,Roosevelt Brown,1999,CHC,0.9999999999999999
189,Hee Seop Choi,2002,CHC,2.9
190,Matt Clement,1998,SDP,17.6
191,Juan Cruz,2001,CHC,4.7
192,Will Cunnane,1997,SDP,0.5000000000000001
193,Delino DeShields,1990,MON,24.200000000000003
194,Courtney Duncan,2001,CHC,0.2
195,Kyle Farnsworth,1999,CHC,6.2
196,Jeff Fassero,1991,MON,29.3
197,Joe Girardi,1989,CHC,5.5
198,Alex Gonzalez,1994,TOR,11.4
199,Tom Gordon,1988,KCR,34.6
200,Bobby Hill,2002,CHC,0.2
201,Todd Hundley,1990,NYM,14.299999999999999
202,Darren Lewis,1990,OAK,7.9
203,Jon Lieber,1994,PIT,36.300000000000004
204,Robert Machado,1996,CHW,0.8
205,Ron Mahay,1995,BOS,1.5000000000000004
206,Fred McGriff,1986,TOR,56.99999999999999
207,Adam Melhuse,2000,- - -,0.6999999999999997
208,Bill Mueller,1996,SFG,23.6
209,Will Ohman,2000,CHC,1.5
210,Augie Ojeda,2000,CHC,1.8999999999999997
211,Donovan Osborne,1992,STL,10.7
212,Corey Patterson,2000,CHC,10.799999999999999
213,Mark Prior,2002,CHC,17.299999999999997
214,Sammy Sosa,1989,- - -,60.1
215,Chris Stynes,1995,KCR,7.0
216,Kerry Wood,1998,CHC,24.9
217,Carlos Zambrano,2001,CHC,37.199999999999996
218,Jose Acevedo,2001,CIN,1.0999999999999999
219,Carlos Almanzar,1997,TOR,0.3
220,Aaron Boone,1997,CIN,10.0
221,Ben Broussard,2002,CLE,2.6
222,Jim Brower,1999,CLE,0.9999999999999993
223,Sean Casey,1997,CLE,15.0
224,Elmer Dessens,1996,PIT,11.3
225,Adam Dunn,2001,CIN,25.4
226,Juan Encarnacion,1997,DET,6.7
227,Jared Fernandez,2001,CIN,0.8
228,Danny Graves,1996,CLE,3.4
229,Ken Griffey Jr.,1989,SEA,77.49999999999999
230,Joey Hamilton,1994,SDP,16.299999999999997
231,Jimmy Haynes,1995,BAL,9.0
232,Austin Kearns,2002,CIN,16.899999999999995
233,Kanekoa Texeira,2010,- - -,0.2
234,Barry Larkin,1986,CIN,67.19999999999999
235,Jason LaRue,1999,CIN,9.700000000000001
236,Blake Beavan,2011,SEA,1.3000000000000003
237,Corky Miller,2001,CIN,0.9000000000000002
238,Wily Mo Pena,2002,CIN,0.3999999999999999
239,Chris Reitsma,2001,CIN,4.5
240,Jose Rijo,1984,NYY,40.4
241,Jose Silva,1996,TOR,4.6000000000000005
242,Kelly Stinnett,1994,NYM,4.100000000000001
243,Scott Sullivan,1995,CIN,3.4000000000000004
244,Todd Walker,1996,MIN,9.299999999999999
245,Gabe White,1994,MON,3.9000000000000012
246,Scott Williamson,1999,CIN,7.500000000000001
247,Brady Anderson,1988,- - -,32.6
248,Bruce Aven,1997,CLE,1.9
249,Danys Baez,2001,CLE,4.1
250,Milton Bradley,2000,MON,19.2
251,Russell Branyan,1998,CLE,12.200000000000001
252,Jamie Brown,2004,BOS,0.0
253,Ellis Burks,1987,BOS,44.8
254,Jolbert Cabrera,1998,CLE,0.09999999999999964
255,Bartolo Colon,1997,CLE,49.599999999999994
256,Sean DePaula,1999,CLE,0.0
257,Einar Diaz,1996,CLE,3.3000000000000003
258,Ryan Drese,2001,CLE,6.6
259,Alex Escobar,2001,NYM,1.2999999999999998
260,Chuck Finley,1986,CAL,56.300000000000004
261,Travis Fryman,1990,DET,30.400000000000002
262,Brooks Kieschnick,1996,CHC,0.4
263,Matt Lawton,1995,MIN,11.799999999999999
264,Chris Magruder,2001,TEX,0.3
265,Victor Martinez,2002,CLE,26.7
266,John McDonald,1999,CLE,1.1
267,Jose Mercedes,1994,MIL,3.9999999999999996
268,Charles Nagy,1990,CLE,30.700000000000006
269,Chad Paronto,2001,BAL,0.19999999999999996
270,Eddie Perez,1995,ATL,2.6
271,Ricardo Rincon,1997,PIT,4.999999999999999
272,David Riske,1999,CLE,1.3000000000000003
273,Nerio Rodriguez,1996,BAL,0.3000000000000001
274,CC Sabathia,2001,CLE,67.0
275,Paul Shuey,1994,CLE,7.3999999999999995
276,Jim Thome,1991,CLE,68.80000000000003
277,Billy Traber,2003,CLE,0.7000000000000002
278,Omar Vizquel,1989,SEA,42.4
279,Jake Westbrook,2000,NYY,18.099999999999998
280,Bob Wickman,1992,NYY,13.7
281,Mark Wohlers,1991,ATL,8.600000000000001
282,Jaret Wright,1997,CLE,11.499999999999996
283,Benny Agbayani,1998,NYM,2.5
284,Shawn Chacon,2001,COL,2.3
285,Scott Elarton,1998,HOU,2.9999999999999996
286,Bobby Estalella,1996,PHI,2.5999999999999996
287,Brian Fuentes,2001,SEA,7.700000000000001
288,Mike Hampton,1993,SEA,36.0
289,Todd Helton,1997,COL,55.0
290,Todd Hollandsworth,1995,LAD,5.299999999999999
291,Jason Jennings,2001,COL,13.700000000000001
292,Jose Jimenez,1998,STL,5.800000000000001
293,Todd Jones,1993,HOU,11.200000000000001
294,Mark Little,1998,STL,0.4
295,Kent Mercker,1989,ATL,7.4
296,Denny Neagle,1991,MIN,24.8
297,Juan Pierre,2000,COL,24.200000000000003
298,Dennys Reyes,1997,LAD,4.800000000000001
299,Victor Santos,2001,DET,1.8999999999999997
300,Melky Mesa,2012,NYY,0.2
301,Justin Speier,1998,- - -,1.8
302,John Thomson,1997,COL,19.999999999999996
303,Juan Uribe,2001,COL,22.7
304,Larry Walker,1989,MON,68.9
305,Rick White,1994,PIT,4.199999999999999
306,Todd Zeile,1989,STL,22.0
307,Juan Acevedo,1995,COL,1.3
308,Matt Anderson,1998,DET,0.4999999999999999
309,Adam Bernero,2000,DET,0.8999999999999999
310,Nate Cornejo,2001,DET,1.0
311,Damion Easley,1992,CAL,17.4
312,Robert Fick,1998,DET,3.5999999999999996
313,Seth Greisinger,1998,DET,1.5
314,Shane Halter,1997,KCR,4.8999999999999995
315,Bobby Higginson,1995,DET,17.8
316,Brandon Inge,2001,DET,14.3
317,Damian Jackson,1996,CLE,5.8
318,Jose Lima,1994,DET,9.5
319,Jose Macias,1999,DET,0.7999999999999999
320,Mitch Meluskey,1998,HOU,2.0999999999999996
