"Name","Team","WAR","playerid"
"Haddie Gill","CIN","0.0","1004720"
"Ed Giovanola","SDP","0.0","1004745"
"Bob Glenn","STL","0.0","1004777"
"Lariel Gonzalez","COL","0.0","1004840"
"Rene Gonzales","CAL","0.0","1004844"
"Charlie Gould","CIN","0.0","1004901"
"John Grim","RCH","0.0","1005067"
"Wayne Gross","OAK","0.0","1005091"
"Red Gunkel","CLE","0.0","1005145"
"Fred Hahn","STL","0.0","1005204"
"Garry Hancock","OAK","0.0","1005294"
"Slim Harrell","PHA","0.0","1005391"
"Heath Haynes","MON","0.0","1005533"
"Harry Hedgpeth","WAS","0.0","1005574"
"Jake Hehl","BRO","0.0","1005585"
"Emmet Heidrick","SLB","0.0","1005587"
"Ellie Hendricks","BAL","0.0","1005641"
"Randy Hennis","HOU","0.1","1005659"
"Bill Henry","NYY","0.0","1005666"
"Herb Herring","WAS","0.0","1005728"
"Lefty Herring","WAS","0.0","1005729"
"Marty Herrmann","BRO","0.0","1005734"
"Donnie Hill","CAL","0.0","1005811"
"Herbert Hill","CLE","-0.1","1005821"
"Howard Hilton","STL","0.0","1005837"
"Paul Hines","PRO","0.0","1005845"
"Myril Hoag","- - -","0.0","1005865"
"Walter Holke","PHI","0.0","1005946"
"Wally Hood","NYY","0.1","1005996"
"Harry Hooper","BOS","0.0","1006002"
"Sam Hope","PHA","0.0","1006012"
"Del Howard","PIT","-0.2","1006076"
"Earl Howard","STL","-0.1","1006078"
"Cal Howe","CHC","0.0","1006093"
"Bill Hurst","FLA","0.0","1006221"
"Jake Jaeckel","CHC","0.1","1006333"
"Art Johnson","NYG","0.0","1006419"
"Lloyd Johnson","PIT","0.0","1006483"
"Tim Jones","PIT","0.2","1006597"
"Kid Keenan","CKE","0.1","1006751"
"Ed Kelly","BOS","0.1","1006798"
"George Kelly","NYG","0.0","1006799"
"Joe Kostal","LOU","0.0","1007121"
"Frank Kreeger","KCC","-0.1","1007150"
"Flip Lafferty","PHN","0.1","1007249"
"Razor Ledbetter","DET","0.0","1007443"
"John Leroy","ATL","0.0","1007553"
"Don Leshnock","DET","0.1","1007556"
"Clem Llewellyn","NYY","0.0","1007680"
"Harry Lochhead","CLE","0.0","1007685"
"Chuck Locke","BAL","0.0","1007689"
"George Lowe","CIN","0.0","1007789"
"Hersh Lyons","STL","-0.1","1007884"
"Harry Macpherson","BSN","0.0","1007933"
"Art Mahan","PHI","0.0","1007982"
"Mal Mallette","BRO","0.0","1008022"
"Len Matarazzo","PHA","0.0","1008231"
"Buckshot May","PIT","0.0","1008290"
"Sam Mayer","WAS","0.0","1008298"
"Jimmy McAleer","CLE","-0.1","1008322"
"Dixie McArthur","PIT","0.0","1008329"
"Tom McAvoy","WAS","0.0","1008335"
"Pat McGehee","DET","0.0","1008515"
"John McGraw","BKF","0.0","1008543"
"Tom McGraw","STL","0.0","1008544"
"Rufus Meadows","CIN","0.0","1008707"
"Sam Mejias","MON","0.0","1008742"
"Mike Mendoza","HOU","0.0","1008762"
"Jack Mercer","PIT","0.0","1008774"
"Gene Michael","NYY","0.1","1008837"
"Ralph Miller","WAS","0.0","1008925"
"Whitey Miller","NYG","0.0","1008941"
"Jim Minshall","PIT","0.1","1008985"
"Richie Moloney","CHW","0.0","1009043"
"Bill Moore","DET","0.0","1009091"
"Dee Moore","CIN","0.1","1009101"
"George Moore","PIT","0.0","1009108"
"Terry Moore","STL","0.0","1009128"
"Jim Morrison","ATL","0.0","1009212"
"Phil Morrison","PIT","0.0","1009223"
"Greg Mullins","MIL","0.0","1009303"
"Tim Murchison","- - -","-0.1","1009340"
"Stan Musial","STL","0.0","1009405"
"Billy Nash","- - -","0.0","1009456"
"Jim Neher","CLE","0.0","1009484"
"Floyd Newkirk","NYY","0.0","1009536"
"Jeff Newman","OAK","0.0","1009543"
"Junior Noboa","MON","0.0","1009612"
"Darby O'Brien","NYM","0.0","1009686"
"Bill O'Hara","STL","0.0","1009751"
"Jay Parker","PIT","0.0","1010004"
"Gene Paulette","STL","0.0","1010080"
"Gil Paulsen","STL","0.0","1010083"
"Kewpie Pennington","SLB","0.0","1010160"
"John Peters","CHI","0.0","1010232"
"Bob Pettit","CHI","0.0","1010248"
"Jeff Plympton","BOS","0.0","1010401"
"Al Porto","PHI","0.1","1010458"
"Jack Powell","SLB","-0.1","1010488"
"Don Prince","CHC","0.0","1010538"
"Drew Rader","PIT","0.0","1010639"
"Jon Ratliff","OAK","0.0","1010711"
"Stan Rees","WAS","-0.1","1010779"
"Todd Revenig","OAK","0.0","1010854"
"Jeff Richardson","CAL","0.0","1010912"
"Jeff Rineer","BAL","0.0","1010971"
"Clay Roe","WAS","-0.1","1011119"
"Cookie Rojas","PHI","0.0","1011152"
"Cliff Ross","CIN","0.1","1011226"
"George Ross","NYG","-0.1","1011231"
"Jack Rothrock","BOS","0.0","1011244"
"John Russell","ATL","0.0","1011317"
"Freddy Sale","PIT","0.0","1011379"
"Jeff Schattinger","KCR","0.0","1011528"
"Jumbo Schoeneck","IND","0.0","1011599"
"Jim Scoggins","CHW","0.0","1011669"
"Doc Sechrist","NYG","0.0","1011711"
"Kevin Seitzer","OAK","0.0","1011730"
"Harvey Shank","CAL","0.0","1011790"
"Jeff Shaver","OAK","0.0","1011814"
"Scott Sheldon","TEX","0.0","1011856"
"Dan Sherman","CWH","-0.1","1011878"
"Razor Shines","MON","0.0","1011901"
"George Shoch","WAS","0.0","1011916"
"John Slagle","CKE","0.0","1012049"
"Roger Slagle","NYY","0.0","1012050"
"Phil Slattery","PIT","-0.1","1012057"
"Jake Smith","PHI","0.0","1012158"
"George Snyder","PHA","0.1","1012246"
"Hack Spencer","SLB","0.0","1012324"
"Mike Squires","CHW","0.0","1012371"
"Dick Stone","WAS","0.0","1012562"
"George Stultz","BSN","0.1","1012648"
"Joe Sugden","SLB","0.0","1012672"
"Ducky Swan","KCP","0.0","1012757"
"Jeff Tackett","BAL","0.0","1012809"
"Ed Taylor","STL","0.0","1012869"
"Patsy Tebeau","CLE","0.0","1012900"
"Jim Tennant","NYG","0.0","1012913"
"Jerry Terrell","KCR","0.0","1012922"
"Dick Terwilliger","STL","0.0","1012933"
"Jack Theis","CIN","-0.1","1012948"
"Blaine Thomas","BOS","-0.2","1012965"
"Erskine Thomason","PHI","0.0","1012972"
"Mike Thomas","MIL","0.0","1012987"
"Eddie Tiemeyer","CIN","0.0","1013059"
"Andy Tomberlin","BOS","0.0","1013108"
"Chuck Tompkins","CIN","0.0","1013113"
"Cesar Tovar","MIN","0.0","1013142"
"Bob Uhl","- - -","0.0","1013265"
"Lou Vedder","DET","0.0","1013392"
"Al Verdel","PHI","0.0","1013409"
"Charlie Wacker","PIT","0.0","1013465"
"Honus Wagner","PIT","0.0","1013485"
"Mark Wagner","OAK","0.0","1013488"
"Marty Walker","PHI","0.0","1013526"
"Huck Wallace","PHI","0.0","1013547"
"Red Waller","NYG","0.0","1013556"
"Bernie Walter","PIT","0.0","1013582"
"Gil Whitehouse","NWK","0.0","1013875"
"Al Williamson","CHW","0.0","1013969"
"Bill Wilson","KCA","0.0","1014063"
"Glenn Wilson","PHI","0.0","1014081"
"Roy Wilson","CHW","0.0","1014103"
"John Wood","STL","0.0","1014223"
"John Woods","BOS","-0.1","1014239"
"Larry Yount","HOU","0.0","1014395"
"Jeff Zaske","PIT","0.0","1014421"
"Austin Maddox","BOS","0.3","14241"
"Tanner Houck","BOS","0.4","19879"
"Dennis Musgraves","NYM","0.2","1009404"
"Charlie Dewald","CLI","0.2","1003256"
"John Gaddy","BRO","0.2","1004420"
"Juan Pena","BOS","0.7","1010149"
"Charlie Comiskey","STL","0.1","1002484"
"Phil Stockman","ATL","0.1","2206"
"Jason Lane","SDP","0.1","1397"
"Bill Schenck","LOU","0.1","1011548"
"Johnny Tillman","SLB","0.2","1013067"
"Frank Brower","CLE","0.0","1001489"
"Anthony Chavez","ANA","0.1","1002168"
"Gordon Seyfried","CLE","0.1","1011776"
"Leo Hafford","CIN","0.0","1005193"
"Dan Tipple","NYY","0.1","1013079"
"Jack Reis","STL","-0.1","1010817"
"Babe Doty","TOL","0.2","1003427"
"Harry Raymond","LOU","-0.1","1010733"
"Colonel Snover","NYG","0.1","1012237"
"Fred Herbert","NYG","0.2","1005683"
"Jacob Webb","ATL","0.3","19274"
"Brad Kilby","OAK","0.5","9823"
"Brad Moore","PHI","0.0","1009096"
"Rodrigo Rosario","HOU","0.2","1747"
"Pete Fahrer","CIN","0.0","1003900"
"Billy Ging","BSN","0.1","1004739"
"Eddie Hogan","STL","0.2","1005918"
"Joe Koukalik","BRO","0.0","1007125"
"Frank Leary","CIN","0.0","1007435"
"Red Long","BSN","0.1","1007738"
"Hector Maestri","- - -","0.0","1007960"
"Sam Mertes","CHW","0.1","1008794"
"Whitey Wistert","CIN","-0.1","1014162"
"Paul Carpenter","PIT","0.0","1001981"
"Lefty Guise","CIN","-0.1","1005130"
"Al Tedrow","CLE","-0.1","1012902"
"Luis Rivera","- - -","0.1","1011004"
"Ben Braymer","WSN","0.2","20175"
"Miguel Yajure","NYY","0.0","21111"
"Larry Gowell","NYY","0.3","1004905"
"Cotton Minahan","CIN","-0.2","1008971"
"Victor Gonzalez","LAD","0.6","16408"
"Sammy Curran","BSN","0.1","1002886"
"Eddie Gamboa","TBR","0.0","6911"
"Bobby Cuellar","TEX","0.0","1002851"
"Harry Otis","CLE","-0.3","1009895"
"Bill Cooney","BSN","0.1","1002584"
"Lem Hunter","CLE","0.0","1006204"
"Justin Hancock","CHC","0.0","12316"
"Riley Smith","ARI","0.3","19826"
"Mark Woodyard","DET","0.0","3094"
"Patrick Murphy","TOR","0.1","19712"
"Woody Davis","DET","0.0","1003089"
"Steve Larkin","DET","0.2","1007350"
"Charlie Pickett","STL","0.0","1010311"
"Suter Sullivan","STL","0.0","1012712"
"Bryan Abreu","HOU","0.1","16609"
"Rich Rundles","CLE","0.1","2760"
"Don Florence","NYM","0.1","1004168"
"Dalier Hinojosa","- - -","0.4","15671"
"Jimmie Foxx","- - -","0.2","1004285"
"Codi Heuer","CHW","0.5","23293"
"Jim Lehew","BAL","0.1","1007485"
"Devin Williams","MIL","1.4","15816"
"Dave Skaugstad","CIN","0.0","1012031"
"Kyle Cody","TEX","0.4","19686"
"Kwang-hyun Kim","STL","0.7","27458"
"John Weyhing","- - -","0.8","1013821"
"Count Gedney","NYM","0.2","1004593"
"Frank Scanlan","PHI","0.0","1011491"
"Ryan Reid","PIT","0.0","9385"
"Bill Tozer","CIN","0.0","1013149"
"Jerry Upp","CLE","0.2","1013290"
"Pedro Avila","SDP","0.2","18864"
"Clarence Fieber","CHW","0.0","1004024"
"George Gerberman","CHC","-0.1","1004626"
"Fred Rath","COL","0.0","1010707"
"Bert Shepard","WAS","0.0","1011863"
"Jim Delahanty","BSN","-0.1","1003157"
"Ryan Merritt","CLE","0.8","13688"
"Myron Allen","- - -","0.2","1000153"
"Doug Allison","PRO","0.0","1000168"
"Dave Dowling","- - -","0.3","1003446"
"Gussie Gannon","PIT","0.0","1004480"
"Shawn Holman","DET","0.0","1005973"
"Stover McIlwain","CHW","0.0","1008568"
"Billy O'Brien","SPS","-0.2","1009682"
"Harry O'Neill","PHA","0.0","1009809"
"Bob Pepper","PHA","-0.1","1010170"
"Harry Smith","CHW","0.1","1012152"
"Bill Upton","PHA","0.0","1013294"
"Jake Virtue","CLE","0.0","1013440"
"George Wright","BSN","0.2","1014277"
"Matt Zeiser","BOS","-0.3","1014429"
"Eric Yardley","- - -","0.2","15538"
"Chuck Ricci","PHI","0.2","1010892"
"Jared Walsh","LAA","0.0","18607"
"Ed Walsh","- - -","49.2","1013570"
"Don Kainer","TEX","0.3","1006669"
"Charlie Hodnett","- - -","0.8","1005891"
"Eric Jokisch","CHC","-0.2","11157"
"Murphy Currie","STL","-0.2","1002891"
"Addie Joss","CLE","33.9","1006630"
"Andre Scrubb","HOU","0.1","20329"
"Red Patterson","LAD","0.0","10710"
"Kodi Whitley","STL","0.0","19731"
"Aaron Scheffer","SEA","0.0","1011534"
"Mike Hinckley","WSN","-0.1","3769"
"Mauricio Robles","PHI","0.1","8895"
"Cole Kimball","WSN","0.1","9480"
"Rob Kaminsky","STL","0.0","15792"
"Steve Connelly","OAK","0.0","1002519"
"Scott Patterson","- - -","0.0","5"
"Jeremy Walker","ATL","0.1","19981"
"Al Libke","CIN","0.1","1007595"
"Ian Anderson","ATL","1.1","19951"
"Perry Werden","STL","0.5","1013784"
"Red Booles","CLE","0.0","1001182"
"Brandon Leibrandt","MIA","0.0","16135"
"John Holdzkom","PIT","0.2","9392"
"Fred Andrus","CHI","0.0","1000264"
"Ray Brown","CHC","0.0","1001556"
"Don Fisher","NYG","0.2","1004083"
"Ralph Good","BSN","0.1","1004859"
"Katsy Keifer","IND","0.2","1006762"
"George Knight","NHE","0.3","1007038"
"Andy Nelson","CHW","-0.1","1009496"
"Bill Price","PHA","0.0","1010526"
"Laurie Reis","CHI","0.8","1010818"
"Bart Evans","KCR","0.2","1003860"
"Jack Pfiester","- - -","15.9","1010266"
"Joe Wood","- - -","26.2","1014224"
"Jim Devlin","- - -","22.4","1003249"
"Martin Glendon","- - -","0.2","1004776"
"Mordecai Brown","- - -","49.3","1001547"
"Jack Flater","PHA","0.1","1004140"
"Marty Decker","SDP","0.0","1003128"
"Joe Ohl","WAS","0.0","1009754"
"Don Loun","WAS","0.3","1007771"
"Lave Winham","- - -","0.3","1014134"
"Domingo Tapia","BOS","0.0","12178"
"Matt Buschmann","ARI","0.0","3832"
"Roy Vaughn","PHA","-0.1","1013386"
"Josh Swindell","CLE","0.2","1012793"
"Chick Brandom","- - -","1.0","1001347"
"Jim St.Vrain","CHI","1.2","1012659"
"Mike Crudale","- - -","0.9","1148"
"Fred Tenney","- - -","0.4","1012915"
"John Ward","- - -","24.9","1013615"
"George Mohart","BRO","0.3","1009030"
"Carlos Pascual","WAS","0.3","1010038"
"Orville Armbrust","WAS","0.1","1000309"
"Ryan O'Malley","CHC","0.2","4412"
"Christian Garcia","WSN","0.1","4067"
"Christy Mathewson","- - -","90.0","1008235"
"Al Spalding","- - -","31.3","1012300"
"Rich Beck","NYY","0.3","1000757"
"Bill Fincher","SLB","0.1","1004048"
"Ed Foster","CLE","-0.3","1004247"
"Ed Conley","PRO","0.1","1002506"
"Russ McKelvy","IND","-0.2","1008590"
"Angel Torres","CIN","-0.2","1013127"
"Rube Waddell","- - -","60.0","1013467"
"Tex Neuer","NYH","0.5","1009522"
"Walter Johnson","WAS","117.1","1006511"
"Craig Kimbrel","- - -","17.1","6655"
"Glenn Liebhardt","CLE","6.2","1007601"
"Blake Taylor","HOU","0.0","16418"
"Mellie Wolfgang","CHW","2.8","1014194"
"Ralph Brickner","BOS","0.4","1001417"
"Connor Sadzeck","- - -","0.1","13483"
"Ramon de los Santos","HOU","0.0","1003181"
"Jim Stump","DET","0.1","1012651"
"Matt Foster","CHW","0.6","19647"
"Rube Kroh","- - -","2.4","1007170"
"Carson Smith","- - -","2.5","13172"
"Mariano Rivera","NYY","39.1","844"
"Pedro Dibut","CIN","0.4","1003270"
"Eric Junge","PHI","0.3","1611"
"Len Swormstedt","- - -","0.6","1012797"
"Erv Lange","CWH","1.9","1007317"
"Jake Weimer","- - -","15.7","1013738"
"Frank Morrissey","- - -","0.3","1009206"
"Orval Overall","- - -","24.0","1009910"
"Jocko Flynn","CHI","3.9","1004186"
"Lee Gronkiewicz","TOR","0.0","3508"
"Edgar Ibarra","LAA","0.0","5195"
"Alex Avila","ARI","0.0","7476"
"Demarcus Evans","TEX","0.0","21087"
"Hank Boney","NYG","0.0","1001163"
"Jess Buckles","NYY","0.0","1001622"
"Don Choate","SFG","0.1","1002202"
"Bob Garber","PIT","-0.1","1004492"
"John Hatfield","NYM","0.2","1005491"
"John Hollison","CHI","-0.1","1005961"
"Arthur Irwin","- - -","0.0","1006276"
"Al Lachowicz","TEX","0.3","1007236"
"Pepper Martin","STL","0.0","1008189"
"Larry Milton","STL","0.0","1008969"
"Harry Patton","STL","0.0","1010077"
"Ned Porter","NYG","-0.1","1010456"
"Jack Robinson","BOS","0.0","1011071"
"Jim Stoops","COL","-0.1","1012575"
"Andy Varga","CHC","-0.1","1013366"
"Jim Walsh","DET","0.1","1013574"
"Bob Wright","CHC","0.1","1014271"
"Walter Zink","NYG","0.0","1014449"
"Gary Buckels","STL","-0.1","1001619"
"Angel Castro","OAK","-0.1","3243"
"Lee Howard","PIT","0.1","1006085"
"Aroldis Chapman","- - -","19.8","10233"
"Will White","- - -","26.5","1013897"
"Bill James","BSN","5.9","1006344"
"Babe Ruth","- - -","12.4","1011327"
"Ed Reulbach","- - -","27.1","1010850"
"Frank Arellanes","BOS","4.4","1000297"
"Nick Maddox","PIT","5.3","1007950"
"Charlie Boardman","- - -","-0.3","1001101"
"Ed Keas","CLE","0.4","1006732"
"Jim Scott","CHW","21.2","1011684"
"Blaine Beatty","NYM","0.1","1000729"
"Tommy Bond","- - -","36.9","1001158"
"Billy Wagner","- - -","24.0","578"
"Carlos Moore","WAS","0.1","1009097"
"Emmanuel Clase","TEX","0.4","21032"
"Andrew Bellatti","TBR","-0.4","10657"
"Clarence Garrett","CLE","0.2","1004544"
"Reb Russell","CHW","20.5","1011321"
"Tom McCarthy","- - -","0.6","1008380"
"Takashi Saito","- - -","8.2","6021"
"Tom Cantwell","CIN","0.0","1001923"
"Justin Topa","MIL","0.2","15145"
"Jim Dedrick","BAL","-0.1","1003133"
"Andy Coakley","- - -","12.3","1002372"
"Eddie Plank","- - -","67.8","1010385"
"George Sisler","- - -","1.1","1012021"
"Larry Corcoran","- - -","27.2","1002618"
"Don Eddy","CHW","-0.2","1003663"
"Rube Foster","BOS","6.3","1004259"
"Will Sawyer","CLE","1.1","1011478"
"Eddie Matteson","- - -","0.9","1008251"
"Larry White","LAD","0.0","1013884"
"Paul Strand","BSN","0.9","1012598"
"Jim Keenan","- - -","0.0","1006749"
"George McQuillan","- - -","18.7","1008682"
"Bill Chappelle","- - -","1.6","1002153"
"Eddie Cicotte","- - -","47.4","1002236"
"Ed Killian","- - -","11.0","1006908"
"Ryan Eades","- - -","-0.2","14808"
"Sam McMackin","- - -","0.1","1008627"
"Chris Piersoll","CIN","0.1","1010337"
"Tom Healey","- - -","0.0","1005544"
"Dan Morogiello","BAL","0.5","1009195"
"Doc White","- - -","33.2","1013864"
"Kenley Jansen","LAD","19.3","3096"
"Don Newhauser","BOS","-0.2","1009534"
